iteration,steps,train/approx_kl,train/illegal_action_loss,train/imp_opp_after,train/imp_opp_before,train/policy_entropy,train/score
0,32768.0,0.0017803879454731941,0.06555621325969696,-1.6200000047683716,-1.4299999475479126,0.3708598017692566,20.600000381469727
1,65536.0,0.0011627300409600139,0.03610004857182503,-1.2200000286102295,-1.6200000047683716,0.42533156275749207,25.299999237060547
2,98304.0,0.0010648713214322925,0.06025061383843422,0.019999999552965164,-1.2200000286102295,0.3895748555660248,23.299999237060547
3,131072.0,0.0013379254378378391,0.0394175685942173,-0.47999998927116394,0.019999999552965164,0.4018069803714752,35.099998474121094
4,163840.0,0.000765972479712218,0.042418550699949265,-0.28999999165534973,-0.47999998927116394,0.4093848466873169,29.099998474121094
5,196608.0,0.0011482581030577421,0.10810501128435135,0.41999998688697815,-0.28999999165534973,0.3945545256137848,29.599998474121094
6,229376.0,0.0009878084529191256,0.06484202295541763,0.6499999761581421,0.41999998688697815,0.4064822793006897,35.39999771118164
7,262144.0,0.0009102261974476278,0.06827357411384583,0.6399999856948853,0.6499999761581421,0.4063815176486969,32.89999771118164
8,294912.0,0.0007626492879353464,0.1829206645488739,0.4699999988079071,0.6399999856948853,0.40112975239753723,37.39999771118164
9,327680.0,0.0010280462447553873,0.176386758685112,0.6499999761581421,0.4699999988079071,0.444368451833725,39.39999771118164
10,360448.0,0.0010398116428405046,0.08140074461698532,0.429999977350235,0.6499999761581421,0.4374568462371826,36.89999771118164
11,393216.0,0.000805896706879139,0.148825541138649,0.8700000047683716,0.429999977350235,0.4203718304634094,36.89999771118164
12,425984.0,0.0007470335112884641,0.17590419948101044,0.6599999666213989,0.8700000047683716,0.4434061050415039,36.89999771118164
13,458752.0,0.0009632240398786962,0.13720113039016724,0.5600000023841858,0.6599999666213989,0.40503039956092834,38.599998474121094
14,491520.0,0.001119784777984023,0.2813163697719574,0.550000011920929,0.5600000023841858,0.4379447102546692,38.599998474121094
15,524288.0,0.0007064648088999093,0.09599556028842926,0.7099999785423279,0.550000011920929,0.4083787202835083,38.599998474121094
16,557056.0,0.0007068982813507318,0.16861268877983093,0.8199999928474426,0.7099999785423279,0.4048829674720764,34.099998474121094
17,589824.0,0.0011445109266787767,0.2505961060523987,0.8199999928474426,0.8199999928474426,0.442474901676178,36.599998474121094
18,622592.0,0.0011241771280765533,0.19698110222816467,0.3499999940395355,0.8199999928474426,0.4271652102470398,36.599998474121094
19,655360.0,0.0012680391082540154,0.6407352685928345,0.35999998450279236,0.3499999940395355,0.4000740945339203,27.099998474121094
20,688128.0,0.0008726438391022384,0.12375721335411072,0.5799999833106995,0.35999998450279236,0.40035444498062134,23.299999237060547
21,720896.0,0.0011716249864548445,0.3067820370197296,0.6800000071525574,0.5799999833106995,0.4109904170036316,21.399999618530273
22,753664.0,0.0010790701489895582,0.2576045095920563,0.4599999785423279,0.6800000071525574,0.426236629486084,17.799999237060547
23,786432.0,0.0010160653619095683,0.47038087248802185,0.8799999952316284,0.4599999785423279,0.384610116481781,21.899999618530273
24,819200.0,0.001268099877052009,0.3497428297996521,0.6899999976158142,0.8799999952316284,0.3955319821834564,15.5
25,851968.0,0.0008648481452837586,0.5306068062782288,0.8299999833106995,0.6899999976158142,0.3996703624725342,16.100000381469727
26,884736.0,0.0009312921320088208,0.24569255113601685,0.9199999570846558,0.8299999833106995,0.4696727395057678,13.199999809265137
27,917504.0,0.0009837881661951542,0.30734318494796753,0.8799999952316284,0.9199999570846558,0.4597259759902954,12.5
28,950272.0,0.0009622614597901702,0.307259738445282,1.1200000047683716,0.8799999952316284,0.4383702278137207,11.5
29,983040.0,0.0009542732732370496,0.6971766948699951,1.1899999380111694,1.1200000047683716,0.43272799253463745,11.0
30,1015808.0,0.0006398467230610549,0.4224538803100586,1.5199999809265137,1.1899999380111694,0.3821330666542053,12.5
31,1048576.0,0.0010776396375149488,0.6911672353744507,1.649999976158142,1.5199999809265137,0.4226061999797821,16.19999885559082
32,1081344.0,0.001174491597339511,0.4059920012950897,1.6699999570846558,1.649999976158142,0.38916853070259094,17.799999237060547
33,1114112.0,0.0010910535929724574,0.8008778691291809,2.059999942779541,1.6699999570846558,0.4248998761177063,16.299999237060547
34,1146880.0,0.0008568637422285974,0.595359206199646,2.2200000286102295,2.059999942779541,0.3995620608329773,18.600000381469727
35,1179648.0,0.000984359416179359,0.8217201232910156,1.5199999809265137,2.2200000286102295,0.42406603693962097,18.600000381469727
36,1212416.0,0.001302934717386961,0.7459496259689331,2.0,1.5199999809265137,0.39918893575668335,28.299999237060547
37,1245184.0,0.0007615693029947579,0.8513473272323608,2.2799999713897705,2.0,0.4604242444038391,31.19999885559082
38,1277952.0,0.001061383169144392,0.9181890487670898,2.759999990463257,2.2799999713897705,0.4479462504386902,27.69999885559082
39,1310720.0,0.00110681913793087,0.9713979363441467,2.559999942779541,2.759999990463257,0.39558684825897217,29.299999237060547
40,1343488.0,0.0009020458674058318,0.7630735635757446,2.919999837875366,2.559999942779541,0.43327194452285767,29.299999237060547
41,1376256.0,0.0007808133959770203,1.0853614807128906,3.3299999237060547,2.919999837875366,0.42882710695266724,32.20000076293945
42,1409024.0,0.001154465600848198,1.0809352397918701,2.8899998664855957,3.3299999237060547,0.43957769870758057,30.69999885559082
43,1441792.0,0.0007607686566188931,1.2170069217681885,2.8999998569488525,2.8899998664855957,0.4369611442089081,16.799999237060547
44,1474560.0,0.0012059289729222655,1.0130698680877686,3.009999990463257,2.8999998569488525,0.4054514467716217,34.79999923706055
45,1507328.0,0.0013614280615001917,1.0271377563476562,3.009999990463257,3.009999990463257,0.4086359441280365,25.299999237060547
46,1540096.0,0.0008264976786449552,0.9238595962524414,3.429999828338623,3.009999990463257,0.44962072372436523,35.5
47,1572864.0,0.0008722955826669931,1.1745039224624634,3.359999895095825,3.429999828338623,0.4218771457672119,38.79999923706055
48,1605632.0,0.0006822662544436753,1.3922830820083618,3.129999876022339,3.359999895095825,0.4339149594306946,28.599998474121094
49,1638400.0,0.0012169218389317393,1.1834547519683838,3.1599998474121094,3.129999876022339,0.4061436057090759,31.099998474121094
50,1671168.0,0.0013176886131986976,1.3571795225143433,3.0,3.1599998474121094,0.41024214029312134,28.69999885559082
51,1703936.0,0.0011417961213737726,1.4146450757980347,2.4700000286102295,3.0,0.39919307827949524,29.899999618530273
52,1736704.0,0.0008364807581529021,1.3307288885116577,3.109999895095825,2.4700000286102295,0.38654088973999023,30.799999237060547
53,1769472.0,0.0013891805429011583,1.072860598564148,4.009999752044678,3.109999895095825,0.401028037071228,29.799999237060547
54,1802240.0,0.0014269959647208452,1.1551839113235474,3.509999990463257,4.009999752044678,0.4178333878517151,26.5
55,1835008.0,0.0010097625199705362,1.5010197162628174,3.419999837875366,3.509999990463257,0.4380457401275635,29.099998474121094
56,1867776.0,0.001335536828264594,1.3101983070373535,3.359999895095825,3.419999837875366,0.37513482570648193,29.599998474121094
57,1900544.0,0.0017619743011891842,1.1079721450805664,3.9700000286102295,3.359999895095825,0.43673521280288696,30.399999618530273
58,1933312.0,0.0009762089466676116,1.1174087524414062,4.029999732971191,3.9700000286102295,0.3706531822681427,36.39999771118164
59,1966080.0,0.0009313079644925892,1.0355602502822876,3.6599998474121094,4.029999732971191,0.3831915557384491,28.5
60,1998848.0,0.001374541432596743,1.7650636434555054,3.0799999237060547,3.6599998474121094,0.35978829860687256,30.0
61,2031616.0,0.0010042444337159395,1.6152976751327515,3.619999885559082,3.0799999237060547,0.4088026285171509,29.399999618530273
62,2064384.0,0.0008214215631596744,1.3067342042922974,3.740000009536743,3.619999885559082,0.41757404804229736,50.0
63,2097152.0,0.0011797570623457432,1.7621488571166992,3.679999828338623,3.740000009536743,0.38166677951812744,51.69999694824219
64,2129920.0,0.0009471720550209284,1.659778356552124,3.990000009536743,3.679999828338623,0.3851374685764313,52.79999923706055
65,2162688.0,0.000703189056366682,1.4263174533843994,4.659999847412109,3.990000009536743,0.38069748878479004,51.69999694824219
66,2195456.0,0.0011478655505925417,1.6682358980178833,3.759999990463257,4.659999847412109,0.3879513740539551,37.79999923706055
67,2228224.0,0.0009424311574548483,1.2731446027755737,3.7099997997283936,3.759999990463257,0.40235739946365356,40.0
68,2260992.0,0.0013076738687232137,1.4349472522735596,3.7699999809265137,3.7099997997283936,0.4032939374446869,38.20000076293945
69,2293760.0,0.0008275706204585731,1.8031041622161865,3.0,3.7699999809265137,0.36744728684425354,22.899999618530273
70,2326528.0,0.0009459012071602046,1.3253264427185059,3.429999828338623,3.0,0.3984715938568115,35.20000076293945
71,2359296.0,0.000972944893874228,1.7491827011108398,3.5199999809265137,3.429999828338623,0.36922982335090637,30.19999885559082
72,2392064.0,0.0012832360807806253,2.0993292331695557,3.819999933242798,3.5199999809265137,0.3710714280605316,47.20000076293945
73,2424832.0,0.0011649224907159805,1.7378565073013306,3.109999895095825,3.819999933242798,0.40392327308654785,43.20000076293945
74,2457600.0,0.0010864147916436195,2.0673789978027344,3.3499999046325684,3.109999895095825,0.38030779361724854,33.599998474121094
75,2490368.0,0.001179167884401977,1.6281447410583496,2.9800000190734863,3.3499999046325684,0.3729839026927948,33.099998474121094
76,2523136.0,0.0008921354310587049,1.6681019067764282,3.0299999713897705,2.9800000190734863,0.3667148947715759,32.89999771118164
77,2555904.0,0.0009010903886519372,1.4061166048049927,3.679999828338623,3.0299999713897705,0.3457512855529785,28.099998474121094
78,2588672.0,0.0008596150437369943,1.785508632659912,2.5399999618530273,3.679999828338623,0.3884299397468567,35.29999923706055
79,2621440.0,0.001206075306981802,1.9131478071212769,3.0899999141693115,2.5399999618530273,0.38543999195098877,32.0
80,2654208.0,0.0007523419335484505,1.7860097885131836,2.8899998664855957,3.0899999141693115,0.34516000747680664,43.0
81,2686976.0,0.0009725209092721343,1.4872872829437256,3.369999885559082,2.8899998664855957,0.37080755829811096,34.89999771118164
82,2719744.0,0.0008484959835186601,1.5773296356201172,3.0399999618530273,3.369999885559082,0.3613840937614441,28.399999618530273
83,2752512.0,0.001096879132091999,1.995582938194275,3.5,3.0399999618530273,0.36920711398124695,28.799999237060547
84,2785280.0,0.0012286126147955656,1.5651558637619019,4.019999980926514,3.5,0.389986515045166,29.5
85,2818048.0,0.001223276136443019,1.6706806421279907,4.259999752044678,4.019999980926514,0.36439770460128784,27.19999885559082
86,2850816.0,0.0010401604231446981,1.8627325296401978,4.019999980926514,4.259999752044678,0.38061201572418213,34.89999771118164
87,2883584.0,0.0011026578722521663,1.6932487487792969,4.400000095367432,4.019999980926514,0.38590922951698303,39.89999771118164
88,2916352.0,0.001423223060555756,1.7933393716812134,3.919999837875366,4.400000095367432,0.35368531942367554,29.69999885559082
89,2949120.0,0.0010103682288900018,1.727945327758789,3.1999998092651367,3.919999837875366,0.36076486110687256,30.599998474121094
90,2981888.0,0.0007373826811090112,1.8039053678512573,3.0199999809265137,3.1999998092651367,0.36208879947662354,39.599998474121094
91,3014656.0,0.001091507263481617,1.7657166719436646,3.5799999237060547,3.0199999809265137,0.3711347281932831,37.0
92,3047424.0,0.0010110187577083707,1.4890213012695312,3.3399999141693115,3.5799999237060547,0.3637281656265259,40.099998474121094
93,3080192.0,0.0007666923338547349,1.7241315841674805,3.419999837875366,3.3399999141693115,0.37464767694473267,43.099998474121094
94,3112960.0,0.001012926222756505,2.205925464630127,3.3499999046325684,3.419999837875366,0.37455612421035767,47.599998474121094
95,3145728.0,0.001252835150808096,1.9040042161941528,3.0999999046325684,3.3499999046325684,0.3601163625717163,48.79999923706055
96,3178496.0,0.0008130359929054976,2.001133918762207,2.950000047683716,3.0999999046325684,0.35307776927948,44.599998474121094
97,3211264.0,0.0010508305858820677,2.0950915813446045,2.990000009536743,2.950000047683716,0.34725797176361084,45.79999923706055
98,3244032.0,0.0008215461857616901,2.131075143814087,3.569999933242798,2.990000009536743,0.3643149733543396,40.5
99,3276800.0,0.0012319425586611032,1.674038290977478,3.3899998664855957,3.569999933242798,0.34647735953330994,44.099998474121094
100,3309568.0,0.001401740126311779,2.100221872329712,3.43999981880188,3.3899998664855957,0.39464443922042847,44.29999923706055
101,3342336.0,0.0013324195751920342,1.5640958547592163,2.990000009536743,3.43999981880188,0.37997549772262573,42.099998474121094
102,3375104.0,0.0006456729606725276,2.05487322807312,2.7899999618530273,2.990000009536743,0.3476487696170807,31.299999237060547
103,3407872.0,0.001140217063948512,2.2781982421875,2.7300000190734863,2.7899999618530273,0.3702585995197296,27.799999237060547
104,3440640.0,0.0013450185069814324,2.059692859649658,2.919999837875366,2.7300000190734863,0.3567681312561035,27.799999237060547
105,3473408.0,0.0011221289169043303,1.9224071502685547,3.2300000190734863,2.919999837875366,0.3072229325771332,27.599998474121094
106,3506176.0,0.0012055792612954974,1.9256653785705566,2.950000047683716,3.2300000190734863,0.3480762839317322,42.20000076293945
107,3538944.0,0.0010915922466665506,2.09808611869812,3.679999828338623,2.950000047683716,0.33885645866394043,30.19999885559082
108,3571712.0,0.0009654820314608514,1.7902593612670898,3.609999895095825,3.679999828338623,0.36249274015426636,42.89999771118164
109,3604480.0,0.0010868499521166086,2.1302566528320312,3.9099998474121094,3.609999895095825,0.3576659560203552,43.39999771118164
